Pseudo-terminal will not be allocated because stdin is not a terminal.
Allocated port 7 for remote forward to localhost:8123
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://kzajg-49-43-229-224.run.pinggy-free.link
https://kzajg-49-43-229-224.run.pinggy-free.link

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 0, AC: 0               
RB: 0, SB: 0, TC: 0, AC: 4294967295               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 0, SB: 0, TC: 1, AC: 0               
RB: 442, SB: 16103, TC: 2, AC: 2               
RB: 442, SB: 16103, TC: 2, AC: 1               
RB: 442, SB: 16103, TC: 3, AC: 2               
RB: 442, SB: 16103, TC: 3, AC: 2               
RB: 895, SB: 16756, TC: 2, AC: 2               
RB: 895, SB: 16756, TC: 2, AC: 1               
RB: 895, SB: 16756, TC: 2, AC: 0               
RB: 895, SB: 16756, TC: 2, AC: 0               
RB: 1669, SB: 16756, TC: 3, AC: 1               
RB: 1669, SB: 16756, TC: 3, AC: 1               
RB: 1669, SB: 16756, TC: 3, AC: 0               
RB: 1669, SB: 16756, TC: 4, AC: 1               
RB: 1669, SB: 16756, TC: 4, AC: 1               
RB: 1669, SB: 16756, TC: 4, AC: 1               
RB: 1669, SB: 16756, TC: 4, AC: 1               
RB: 1669, SB: 16756, TC: 4, AC: 1               
RB: 1669, SB: 16756, TC: 4, AC: 1               
RB: 1669, SB: 16756, TC: 4, AC: 1               
RB: 1669, SB: 16756, TC: 4, AC: 0               
RB: 1669, SB: 16756, TC: 5, AC: 1               
RB: 1669, SB: 16756, TC: 5, AC: 1               
RB: 4707, SB: 785799, TC: 7, AC: 5               
RB: 4707, SB: 785799, TC: 7, AC: 5               
RB: 4707, SB: 785799, TC: 7, AC: 4               
RB: 4707, SB: 785799, TC: 8, AC: 5               
RB: 4707, SB: 785799, TC: 8, AC: 4               
RB: 4707, SB: 785799, TC: 9, AC: 5               
RB: 4707, SB: 785799, TC: 9, AC: 5               
RB: 5553, SB: 4551265, TC: 8, AC: 6               
RB: 5553, SB: 4551265, TC: 8, AC: 5               
RB: 5553, SB: 4551265, TC: 9, AC: 6               
RB: 5553, SB: 4551265, TC: 9, AC: 6               
RB: 5553, SB: 4551265, TC: 9, AC: 5               
RB: 5553, SB: 4551265, TC: 10, AC: 6               
RB: 5553, SB: 5564336, TC: 8, AC: 6               
RB: 5553, SB: 5564336, TC: 8, AC: 4               
RB: 5553, SB: 5564336, TC: 8, AC: 0               
RB: 5553, SB: 5564336, TC: 8, AC: 0               
RB: 5553, SB: 5564336, TC: 8, AC: 0               
RB: 6277, SB: 5892220, TC: 9, AC: 1               
RB: 6277, SB: 5892220, TC: 9, AC: 0               
RB: 6277, SB: 5892220, TC: 10, AC: 1               
RB: 6277, SB: 7569852, TC: 9, AC: 1               
RB: 6277, SB: 7569852, TC: 9, AC: 1               
RB: 6277, SB: 7569852, TC: 9, AC: 1               
RB: 6277, SB: 7569852, TC: 9, AC: 1               
RB: 6277, SB: 7569852, TC: 9, AC: 0               
RB: 6277, SB: 7569852, TC: 10, AC: 1               
RB: 6277, SB: 7569852, TC: 10, AC: 1               
RB: 7756, SB: 7914951, TC: 11, AC: 3               
RB: 7756, SB: 7914951, TC: 11, AC: 2               
RB: 7756, SB: 7914951, TC: 12, AC: 3               
RB: 7756, SB: 7914951, TC: 11, AC: 2               
RB: 7756, SB: 7914951, TC: 11, AC: 0               
RB: 7756, SB: 7914951, TC: 11, AC: 0               
RB: 7756, SB: 7914951, TC: 11, AC: 0               
RB: 8479, SB: 8013459, TC: 12, AC: 1               
RB: 8479, SB: 10503827, TC: 12, AC: 1               
RB: 8479, SB: 10503827, TC: 12, AC: 0               
RB: 8479, SB: 10503827, TC: 13, AC: 1               
RB: 8479, SB: 11383803, TC: 12, AC: 1               
RB: 8479, SB: 11383803, TC: 12, AC: 0               
RB: 8479, SB: 11383803, TC: 12, AC: 0               
RB: 8479, SB: 11383803, TC: 12, AC: 0               
RB: 9097, SB: 11711687, TC: 13, AC: 1               
RB: 9097, SB: 11711687, TC: 13, AC: 0               
RB: 9097, SB: 11711687, TC: 14, AC: 1               
RB: 9097, SB: 13529304, TC: 13, AC: 1               
RB: 9097, SB: 13529304, TC: 13, AC: 0               
RB: 9097, SB: 13529304, TC: 13, AC: 0               
RB: 9097, SB: 13529304, TC: 13, AC: 0               
RB: 9097, SB: 13529304, TC: 13, AC: 4294967295               
RB: 9097, SB: 13529304, TC: 14, AC: 0               
RB: 9873, SB: 13545636, TC: 14, AC: 1               
RB: 9873, SB: 13545636, TC: 14, AC: 1               
RB: 9873, SB: 13545636, TC: 14, AC: 1               
RB: 9873, SB: 13545636, TC: 14, AC: 1               
RB: 9873, SB: 13545636, TC: 14, AC: 1               
RB: 9873, SB: 13545636, TC: 14, AC: 1               
RB: 9873, SB: 13545636, TC: 14, AC: 1               
RB: 9873, SB: 13545636, TC: 14, AC: 0               
RB: 9873, SB: 13545636, TC: 15, AC: 1               
RB: 9873, SB: 13545636, TC: 15, AC: 1               
RB: 9873, SB: 13545636, TC: 15, AC: 1               
RB: 9873, SB: 13545636, TC: 15, AC: 0               
RB: 9873, SB: 13545636, TC: 16, AC: 1               
RB: 12919, SB: 14434396, TC: 18, AC: 5               
RB: 12919, SB: 14434396, TC: 18, AC: 4               
RB: 12919, SB: 14434396, TC: 19, AC: 5               
RB: 12919, SB: 18225648, TC: 18, AC: 5               
RB: 12919, SB: 18225648, TC: 18, AC: 5               
RB: 12919, SB: 18225648, TC: 18, AC: 4               
RB: 12919, SB: 18225648, TC: 19, AC: 5               
RB: 12919, SB: 18225648, TC: 19, AC: 5               
RB: 12919, SB: 18225648, TC: 19, AC: 4               
RB: 12919, SB: 18225648, TC: 20, AC: 5               
RB: 13767, SB: 19078975, TC: 19, AC: 6               
RB: 13767, SB: 19078975, TC: 19, AC: 3               
RB: 13767, SB: 19078975, TC: 19, AC: 0               
RB: 13767, SB: 19078975, TC: 19, AC: 0               
RB: 14493, SB: 19078975, TC: 20, AC: 1               
RB: 14493, SB: 19078975, TC: 20, AC: 1               
RB: 14493, SB: 19078975, TC: 20, AC: 0               
RB: 14493, SB: 19078975, TC: 21, AC: 1               
RB: 14493, SB: 21084491, TC: 20, AC: 1               
RB: 14493, SB: 21084491, TC: 20, AC: 1               
RB: 14493, SB: 21084491, TC: 20, AC: 1               
RB: 14493, SB: 21084491, TC: 20, AC: 1               
RB: 14493, SB: 21084491, TC: 20, AC: 0               
RB: 14493, SB: 21084491, TC: 21, AC: 1               
RB: 14493, SB: 21084491, TC: 21, AC: 1               
RB: 14493, SB: 21084491, TC: 21, AC: 1               
RB: 15976, SB: 21429590, TC: 23, AC: 4               
RB: 15976, SB: 21429590, TC: 23, AC: 3               
RB: 15976, SB: 21429590, TC: 24, AC: 4               
RB: 15976, SB: 21429590, TC: 24, AC: 4               
RB: 15976, SB: 21429590, TC: 24, AC: 3               
RB: 15976, SB: 21429590, TC: 25, AC: 4               
RB: 15976, SB: 21429590, TC: 25, AC: 4               
RB: 15976, SB: 21429590, TC: 25, AC: 4               
RB: 15976, SB: 21429590, TC: 25, AC: 4               
RB: 17487, SB: 21794214, TC: 25, AC: 6               
RB: 17487, SB: 21794214, TC: 25, AC: 6               
RB: 17487, SB: 21794214, TC: 25, AC: 6               
RB: 17487, SB: 21794214, TC: 25, AC: 6               
RB: 17487, SB: 21794214, TC: 25, AC: 5               
RB: 17487, SB: 21794214, TC: 26, AC: 6               
RB: 17487, SB: 21794214, TC: 26, AC: 6               
RB: 17487, SB: 21794214, TC: 26, AC: 5               
RB: 17487, SB: 21794214, TC: 27, AC: 6               
RB: 17487, SB: 21794214, TC: 27, AC: 6               
RB: 19666, SB: 23534954, TC: 27, AC: 8               
RB: 19666, SB: 25062630, TC: 27, AC: 5               
RB: 19666, SB: 25062630, TC: 27, AC: 4               
RB: 19666, SB: 25062630, TC: 28, AC: 5               
RB: 19666, SB: 25647898, TC: 27, AC: 5               
RB: 19666, SB: 26135322, TC: 27, AC: 2               
RB: 19666, SB: 26790682, TC: 27, AC: 2               
RB: 19666, SB: 26790682, TC: 27, AC: 1               
RB: 19666, SB: 26790682, TC: 28, AC: 2               
RB: 19666, SB: 26973346, TC: 27, AC: 1               
RB: 19666, SB: 26973346, TC: 27, AC: 1               
RB: 19666, SB: 26973346, TC: 27, AC: 1               
RB: 19666, SB: 26973346, TC: 27, AC: 0               
RB: 19666, SB: 26973346, TC: 28, AC: 1               
RB: 20486, SB: 26979261, TC: 28, AC: 2               
RB: 20486, SB: 26979261, TC: 28, AC: 2               
RB: 20486, SB: 26979261, TC: 28, AC: 2               
RB: 20486, SB: 26979261, TC: 28, AC: 2               
RB: 20486, SB: 26979261, TC: 28, AC: 2               
RB: 20486, SB: 26979261, TC: 28, AC: 2               
RB: 20486, SB: 26979261, TC: 28, AC: 1               
RB: 20486, SB: 26979261, TC: 29, AC: 2               
RB: 22638, SB: 27792085, TC: 31, AC: 5               
RB: 22638, SB: 27792085, TC: 31, AC: 5               
RB: 22638, SB: 27792085, TC: 31, AC: 4               
RB: 22638, SB: 27792085, TC: 32, AC: 5               
RB: 22638, SB: 27792085, TC: 32, AC: 4               
RB: 22638, SB: 27792085, TC: 33, AC: 5               
RB: 22638, SB: 30793212, TC: 31, AC: 3               
RB: 22638, SB: 30793212, TC: 31, AC: 2               
